Videos,Videotitel,Veröffentlichungszeitpunkt des Videos,Dauer,Likes,Gewonnene Abonnenten,Verlorene Abonnenten,Impressionen,Klickrate der Impressionen (%),Aufrufe,Durchschnittliche Wiedergabedauer,Wiedergabezeit (Stunden)
Gesamt,,,,131,15,0,3832,0.86,22865,0:00:15,29.555
oV92yU1Vcho,,,,12,1,0,21,0,1122,0:00:15,1.6215
dogIkZFyIts,,,,9,1,0,140,0,1477,0:00:14,2.5362
a5FQqZx6vcQ,,,,8,1,0,46,2.17,1012,0:00:13,1.3204
vRil5avsccY,,,,8,0,0,95,2.11,1095,0:00:20,2.0677
gdRQranCYk4,,,,7,2,0,38,2.63,1646,0:00:24,3.9278
KU__MmtQfEk,,,,6,2,0,39,2.56,726,0:00:14,1.4333
 -td1OgsnW1k,,,,4,0,0,53,0,199,0:00:13,0.1701
3BhiPZyXqiw,,,,4,3,0,50,2,1035,0:00:16,1.5463
E2gUKQMCwNI,,,,4,0,0,53,0,889,0:00:18,1.867
d-kGHFp4VXc,,,,4,0,0,65,1.54,613,0:00:12,0.6396
ekpP3odw8bY,,,,4,0,0,57,0,805,0:00:13,1.335
ERRsZxF7ypU,,,,3,0,0,53,1.89,169,0:00:21,0.3143
OcU9-RjYwGg,,,,3,0,0,30,0,161,0:00:14,0.1822
gec8SRtx78o,,,,3,1,0,28,3.57,1192,0:00:13,1.446
6Ug6h8H3Dss,,,,2,0,0,93,1.08,252,0:00:09,0.1704
7oy7-Fq2hm0,,,,2,0,0,42,2.38,157,0:00:09,0.0788
Fc70URExnDc,,,,2,0,0,21,0,310,0:00:07,0.1171
GOLYBLgjX9s,,,,2,1,0,27,3.7,368,0:00:18,0.4557
M7bG8WPyeKg,,,,2,0,0,37,0,344,0:00:08,0.1786
Ub8NqMHhd-4,,,,2,0,0,21,0,374,0:00:13,0.3385
axs28oPWjro,,,,2,0,0,35,0,738,0:00:18,1.337
ljcqitU0Ve4,,,,2,0,0,15,0,336,0:00:12,0.1426
 -PtTK_3MNVU,,,,1,0,0,28,0,294,0:00:09,0.1526
06mcA_Ny7fI,,,,1,1,0,119,0.84,189,0:00:14,0.1975
0yima8xNG-I,,,,1,1,0,12,0,1197,0:00:12,1.5058
46VcoGSmX-8,,,,1,1,0,8,12.5,341,0:00:07,0.1341
5gdJkNLTgPo,,,,1,0,0,17,0,365,0:00:09,0.2208
6NpogXrJayY,,,,1,0,0,5,0,6,0:00:22,0.0306
9YIPr4-g1iM,,,,1,0,0,58,0,56,0:00:22,0.0385
DLXf-5Bee5k,,,,1,0,0,31,0,8,0:00:22,0.0148
E13JtBGRXF0,,,,1,0,0,35,2.86,7,0:00:30,0.0266
FqwuwlvMBi8,,,,1,0,0,33,0,128,0:00:20,0.0973
LPTsaCNstE8,,,,1,0,0,90,0,279,0:00:11,0.1788
LVIpQ49B0_I,,,,1,0,0,17,0,6,0:00:23,0.0147
RDA7_GBQQyI,,,,1,0,0,5,0,4,0:00:25,0.0077
RqgswxQZbT4,,,,1,0,0,3,0,3,0:00:30,0.0091
Rz7wCN_0xzg,,,,1,0,0,36,0,15,0:00:24,0.0436
S9xu6cyjJlY,,,,1,0,0,58,1.72,131,0:00:13,0.12
TowXhFdmwBg,,,,1,0,0,34,0,385,0:00:15,0.2609
ULmb0oFCuKQ,,,,1,0,0,37,0,16,0:00:09,0.0152
VLukqMZLcCM,,,,1,0,0,3,0,3,0:00:26,0.0076
VpaqFRCR3u0,,,,1,0,0,8,0,6,0:00:28,0.0164
WmJUlRUc9KI,,,,1,0,0,13,0,359,0:00:09,0.2146
ZKFPXPuO-2k,,,,1,0,0,4,0,3,0:00:25,0.0075
_gPzmXPZmwU,,,,1,0,0,42,4.76,344,0:00:07,0.1626
aAsL6Mwu9fE,,,,1,0,0,5,0,2,,0.0008
dGW-Hs631hY,,,,1,0,0,9,0,4,0:00:28,0.0087
gRfztR2vCP0,,,,1,0,0,36,0,346,0:00:09,0.1889
hVWcXcjKEdo,,,,1,0,0,5,0,6,0:00:26,0.0089
irSfejo3OzE,,,,1,0,0,121,0,375,0:00:11,0.2838
m8Q0a_MdZAI,,,,1,0,0,18,0,6,0:00:12,0.005
m9qyZ5L1T0Q,,,,1,0,0,8,0,2,0:00:30,0.0095
nkKLr3IxhI0,,,,1,0,0,63,1.59,367,0:00:09,0.1662
pOu496z_75o,,,,1,0,0,39,0,351,0:00:08,0.2116
rwIxEuRuEOY,,,,1,0,0,3,0,3,0:00:33,0.0099
s3x2YH-rb5A,,,,1,0,0,34,2.94,83,0:00:13,0.0501
scfVQvIulUg,,,,1,0,0,122,0.82,96,0:00:15,0.0843
z1iZownvC14,,,,1,0,0,3,0,3,0:00:13,0.0041
0IHC2KexDrg,,,,0,0,0,0,,2,0:00:40,0.0112
0M_iXPkeLBU,,,,0,0,0,2,0,1,0:00:04,0.0012
0YQiAANj4a8,,,,0,0,0,60,0,224,0:00:13,0.1467
0fhyLh1s7Cw,,,,0,0,0,89,2.25,6,0:00:20,0.0237
1YaMGBAyRkM,,,,0,0,0,12,8.33,4,0:00:24,0.008
3CILH1l9xJw,,,,0,0,0,27,0,85,0:00:13,0.0569
48wlnMQIluI,,,,0,0,0,49,0,326,0:00:12,0.2572
7PikCudX1KY,,,,0,0,0,2,0,1,,0.0004
7n09ld9BIW0,,,,0,0,0,3,0,1,,0.0004
A9WlWJ3Qb5c,,,,0,0,0,11,0,1,0:01:17,0.0216
AbKVyQlnn1o,,,,0,0,0,15,0,1,,0.0007
Ae8BCcp_j_M,,,,0,0,0,5,0,1,0:01:04,0.0179
ESyf_pTMTSQ,,,,0,0,0,2,0,1,0:00:51,0.0143
EpzVLlOb77o,,,,0,0,0,4,0,2,0:00:37,0.0104
FMehR1jHYkw,,,,0,0,0,3,0,1,0:00:44,0.0125
HaCdhZBJ1Fk,,,,0,0,0,16,0,1,0:00:11,0.0032
IHMU3E-CFRE,,,,0,0,0,19,0,2,0:00:06,0.003
ItZPw0IiSZo,,,,0,0,0,5,0,2,0:00:29,0.0083
KbHnWaUCrUM,,,,0,0,0,5,0,6,0:00:25,0.0352
N_MU_2hN5PE,,,,0,0,0,2,0,3,0:00:19,0.0056
NjQc5QSwTx0,,,,0,0,0,7,0,2,,0.0008
OMHga9V0sbU,,,,0,0,0,2,0,1,,0.001
Rmjk1Rn0JzI,,,,0,0,0,5,0,1,0:00:34,0.0095
TsundM39NqQ,,,,0,0,0,3,0,1,,0.0003
UWVvZsDnz4c,,,,0,0,0,8,12.5,2,0:00:30,0.0086
WPGBueOtDp8,,,,0,0,0,7,0,1,0:00:04,0.0014
X_4iYZcwmpI,,,,0,0,0,3,0,2,0:00:40,0.0113
_ocI1qstsW0,,,,0,0,0,3,0,2,0:00:27,0.0075
aifQrfxUG34,,,,0,0,0,109,0,165,0:00:22,0.1584
aqys7gt76nA,,,,0,0,0,10,0,1,,0.0008
bImKjiYUkOg,,,,0,0,0,43,2.33,3,0:00:24,0.0071
fGUhZyFGWHc,,,,0,0,0,16,6.25,2,0:00:34,0.0194
fuGmK-zJR_Y,,,,0,0,0,8,0,0,,0
gDDHQaHlwC4,,,,0,0,0,7,14.29,2,0:00:30,0.0084
gk5rtbc5L7k,,,,0,0,0,7,0,1,,0.0006
grAMf6XqvT4,,,,0,0,0,14,0,1,0:00:00,0.0001
h2NvK_I_UoU,,,,0,0,0,2,0,1,,0.0003
hot6_F0fSXY,,,,0,0,0,13,0,2,0:00:18,0.0053
jRPOX06OwaE,,,,0,0,0,1,0,2,0:00:11,0.0031
kGyNtIEWq-Y,,,,0,0,0,1,0,1,0:00:07,0.002
mCYEqfPST0E,,,,0,0,0,10,0,4,,0.0009
nbGSGNE1shE,,,,0,0,0,5,0,1,0:00:06,0.0019
nfKFVt81hrk,,,,0,,,17,0,117,0:00:20,0.1386
o08MODNkyP4,,,,0,0,0,4,0,2,,0.0008
ooWZ6JESYrI,,,,0,0,0,6,0,1,0:00:54,0.0153
pXiAWLcqNAo,,,,0,0,0,3,0,1,,0.0003
pmdyJyy7Iuo,,,,0,0,0,34,5.88,11,0:00:26,0.0229
qSR5OAutwGE,,,,0,0,0,4,0,2,0:00:49,0.0138
qTDx9i3c7hA,,,,0,0,0,9,0,1,0:00:19,0.0054
sVTGr6BMNwM,,,,0,0,0,63,1.59,260,0:00:13,0.2552
tfEtVOd5SnE,,,,0,0,0,40,2.5,360,0:00:08,0.1612
vGrw1PQPkV0,,,,0,0,0,61,0,365,0:00:13,0.2473
yCFeOOsZN1w,,,,0,0,0,0,,1,,0.0005
yTwu_RT4Wc0,,,,0,0,0,14,0,3,0:00:12,0.0042
yhDU_dQGLqw,,,,0,0,0,25,0,1,,0.0001
zNDCkaxxYiQ,,,,0,0,0,4,0,1,,0.0007
-0UQMSd506k,,,,,,,7,0,,,
 -c3m5oNq43g,,,,,,,2,0,,,
 -jc9lqi5XmM,,,,,,,16,0,,,
0DvFSYx_Vew,,,,,,,1,0,,,
0vZKv57j824,,,,,,,2,0,,,
13JxuYM3dtk,,,,,,,3,0,,,
1GdonGqHDCU,,,,,,,8,0,,,
1z5PrY66VWU,,,,,,,3,0,,,
2o6PF7hytGU,,,,,,,20,0,,,
3jNsvBA6mlo,,,,,,,2,0,,,
3sfUGJpeCSs,,,,,,,1,0,,,
4O4w7SOSe1U,,,,,,,5,0,,,
4XESSECGDdo,,,,,,,1,0,,,
5GrwCgc_2I0,,,,,,,2,0,,,
5NhBA9oo8Kg,,,,,,,1,0,,,
5RBRerG3SyY,,,,,,,8,0,,,
5hRicP_uW-A,,,,,,,5,0,,,
5xviBiNDfjE,,,,,,,3,0,,,
6C7BAx_BBZY,,,,,,,1,0,,,
6QQWapyK3B8,,,,,,,5,0,,,
8RqKRAJ59_0,,,,,,,1,0,,,
8WHy48uv7j8,,,,,,,7,0,,,
90qOzc5KLVs,,,,,,,4,0,,,
9M543-6WSYM,,,,,,,1,0,,,
9MIScYb8Mm8,,,,,,,2,0,,,
9ZIlA2K9NNE,,,,,,,2,0,,,
BesYQphCGJs,,,,,,,2,0,,,
C4YPy2hXiYI,,,,,,,3,0,,,
CQgb2rJrJ2Q,,,,,,,6,0,,,
Ca-7fUo6B18,,,,,,,1,0,,,
CcGsQg6xKHA,,,,,,,1,0,,,
E0R_9vBsMCk,,,,,,,2,0,,,
EQWXGkralCM,,,,,,,1,0,,,
EVBCw4W8wsk,,,,,,,4,0,,,
FaUY2V93mEo,,,,,,,10,0,,,
GaiKkuPOD3s,,,,,,,4,0,,,
Gh-whyx6qNU,,,,,,,6,0,,,
HK7GsdtC2LI,,,,,,,2,0,,,
I5VXQ1YyxHU,,,,,,,2,0,,,
IE3-A0olOYE,,,,,,,7,0,,,
In8MkClbJSc,,,,,,,9,0,,,
IuxbNuclwsI,,,,,,,4,0,,,
JXi7AhETlmw,,,,,,,3,0,,,
KqpWacalTYk,,,,,,,1,0,,,
KrOslHT8vng,,,,,,,2,0,,,
LUw--Mi8pHc,,,,,,,5,0,,,
MK2-MYdl3E0,,,,,,,3,0,,,
MSmhw_gNvH4,,,,,,,6,0,,,
Mh_M9yFaI-Y,,,,,,,2,0,,,
MnmIEGrYwpM,,,,,,,14,0,,,
MrEtjpBQgf8,,,,,,,4,0,,,
NACkCB9wkuA,,,,,,,1,0,,,
OQPAVMY_lQc,,,,,,,7,0,,,
OXR3i-euU5o,,,,,,,9,0,,,
OlDyxLhlBkI,,,,,,,4,0,,,
PAAsn3rfYxU,,,,,,,3,0,,,
P_p8FHAe-8k,,,,,,,4,0,,,
Pqy6O9AgK0g,,,,,,,1,0,,,
R37OkIXKebY,,,,,,,1,0,,,
RDnMlDW9J7M,,,,,,,3,0,,,
RiGr47eXwOs,,,,,,,1,0,,,
Sp-cWbP1gQw,,,,,,,7,0,,,
Sx5gaWzH0Fo,,,,,,,1,0,,,
TMvm1vt3Ccc,,,,,,,1,0,,,
Tm7s7Xg9jWY,,,,,,,7,0,,,
UgMVCtLaXdk,,,,,,,1,0,,,
UyUzgDxo2Hw,,,,,,,2,0,,,
VgQNh2dA7_M,,,,,,,7,0,,,
VpkKwhciz-Q,,,,,,,1,0,,,
Wy-BK_5delA,,,,,,,3,0,,,
XNPOfPBmpZo,,,,,,,2,0,,,
XVFB3GVfr6s,,,,,,,3,0,,,
XlbfOQSnKz8,,,,,,,9,0,,,
YDdPf11lTFA,,,,,,,1,0,,,
YUqF7dbhPt0,,,,,,,3,0,,,
Yg2w5yxt28Y,,,,,,,3,0,,,
YuXNNNpz3BE,,,,,,,6,0,,,
ZYxAL-gJU-o,,,,,,,5,0,,,
_EhEGAJO5bI,,,,,,,3,0,,,
_QKEDRBMRfc,,,,,,,28,0,,,
aUgY3ezs_3E,,,,,,,7,0,,,
af5jZ9tqcMo,,,,,,,5,0,,,
aozcWTpM_sY,,,,,,,3,0,,,
bDdBI_581wo,,,,,,,2,0,,,
bH_9qBLsMZI,,,,,,,3,0,,,
bKAVr4leKis,,,,,,,1,0,,,
c8jKaIhGuZc,,,,,,,3,0,,,
cEKvmnfap_8,,,,,,,8,0,,,
ceaEHS3Dlts,,,,,,,4,0,,,
cnGBptx4NC0,,,,,,,2,0,,,
cvPmwC1sLBo,,,,,,,2,0,,,
dKHgxodugxk,,,,,,,1,0,,,
ettHu_KxfX8,,,,,,,4,0,,,
f1amE5RUz1o,,,,,,,2,0,,,
f7nlt2lByV0,,,,,,,4,0,,,
fTRAN3xNApk,,,,,,,12,0,,,
gJrmYlrT98w,,,,,,,5,0,,,
goSM_tgcdgA,,,,,,,14,0,,,
h8WrotOBFoI,,,,,,,4,0,,,
hGgm6plRbW0,,,,,,,4,0,,,
hIVORle6iYw,,,,,,,4,25,1,0:00:14,0.0039
hQ0DahLW3yU,,,,,,,11,0,,,
huoyxgAesuw,,,,,,,2,0,,,
hwZPc1XXpYE,,,,,,,2,0,,,
ieYpMVDYxhQ,,,,,,,1,0,,,
jISvlEp7L54,,,,,,,1,0,,,
jfNk3jJyAGU,,,,,,,1,0,,,
jx2sM00MosY,,,,,,,4,0,,,
kTCJ8_vbCvQ,,,,,,,1,0,,,
kieMu4bd0Sw,,,,,,,5,0,0,,0
ku2VeKlahsQ,,,,,,,5,0,,,
lYpmkdMQT8w,,,,,,,2,0,,,
lf31TbeuztY,,,,,,,7,0,,,
lltAawE5uDc,,,,,,,1,0,,,
lpCAPRt6oxU,,,,,,,1,0,,,
m70uMy-zfDE,,,,,,,2,0,,,
mJlK-X7gPCk,,,,,,,10,0,,,
mUICQOZoXNo,,,,,,,1,0,,,
mdxJaa8Zsqk,,,,,,,4,0,,,
mfLv09LCGMQ,,,,,,,4,0,,,
mrKkI5M-6xI,,,,,,,3,0,,,
n57bNcrKmTU,,,,,,,4,0,,,
ni_uzENojhs,,,,,,,2,0,,,
oAN8ZhoLkt0,,,,,,,2,0,,,
oqveVK3RpIQ,,,,,,,18,0,,,
ozVa9gocRM8,,,,,,,6,0,,,
pm2ewn5HVJQ,,,,,,,7,0,,,
psCkiqfNXkQ,,,,,,,2,0,,,
q-HAox_-8P0,,,,,,,1,0,,,
q21ljmOBP68,,,,,,,3,0,,,
q9GZAwAPrjM,,,,,,,6,0,,,
qV63etkLOGo,,,,,,,6,0,,,
qyIq_sZmWB0,,,,,,,2,0,,,
s1izrFb5AEA,,,,,,,3,0,,,
sEehqwgiSIU,,,,,,,2,0,,,
sGo8BYv6Fmk,,,,,,,8,0,,,
sbmrbGMhiWI,,,,,,,7,0,,,
sdK8ABoph5U,,,,,,,2,0,,,
swK1i9_6nAU,,,,,,,7,0,,,
tiytWj5yf90,,,,,,,7,0,,,
tjV2xofi_As,,,,,,,17,0,,,
u-E7xmCeIjE,,,,,,,1,0,,,
u8choVp5ork,,,,,,,1,0,,,
uS3TvHlMC1g,,,,,,,3,0,,,
vAQdMmS02Bk,,,,,,,1,0,,,
vHEJvLOlAMM,,,,,,,2,0,,,
vKNdf3CNajA,,,,,,,2,0,,,
wNIdLelyN0k,,,,,,,9,0,,,
wmL3CDqmvEU,,,,,,,6,0,,,
wrxnCFccg-E,,,,,,,1,0,,,
x8GzTJIqCes,,,,,,,23,0,,,
xNbrADFYdQ0,,,,,,,11,0,,,
xeN0ZbtoSzI,,,,,,,8,0,,,
yE4W_8RM9LE,,,,,,,11,0,,,
